Postcode,Borough,Neighbourhood
M1B,Scarborough,"Malvern, Rouge"
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
M1E,Scarborough,"West Hill, Morningside, Guildwood"
M1G,Scarborough,Woburn
M1H,Scarborough,Cedarbrae
M1J,Scarborough,Scarborough Village
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park"
M1L,Scarborough,"Clairlea, Oakridge, Golden Mile"
M1M,Scarborough,"Cliffside, Scarborough Village West, Cliffcrest"
M1N,Scarborough,"Birch Cliff, Cliffside West"
M1P,Scarborough,"Scarborough Town Centre, Dorset Park, Wexford Heights"
M1R,Scarborough,"Wexford, Maryvale"
M1S,Scarborough,Agincourt
M1T,Scarborough,"Tam O'Shanter, Clarks Corners, Sullivan"
M1V,Scarborough,"Steeles East, L'Amoreaux East, Agincourt North, Milliken"
M1W,Scarborough,"L'Amoreaux West, Steeles West"
M1X,Scarborough,Upper Rouge
M2H,North York,Hillcrest Village
M2J,North York,"Henry Farm, Oriole, Fairview"
M2K,North York,Bayview Village
M2L,North York,"York Mills, Silver Hills"
M2M,North York,"Newtonbrook, Willowdale"
M2N,North York,Willowdale South
M2P,North York,York Mills West
M2R,North York,Willowdale West
M3A,North York,Parkwoods
M3B,North York,Don Mills North
M3C,North York,"Flemingdon Park, Don Mills South"
M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights"
M3J,North York,"Northwood Park, York University"
M3K,North York,"CFB Toronto, Downsview East"
M3L,North York,Downsview West
M3M,North York,Downsview Central
M3N,North York,Downsview Northwest
M4A,North York,Victoria Village
M4B,East York,"Woodbine Gardens, Parkview Hill"
M4C,East York,Woodbine Heights
M4E,East Toronto,The Beaches
M4G,East York,Leaside
M4H,East York,Thorncliffe Park
M4J,East York,East Toronto
M4K,East Toronto,"Riverdale, The Danforth West"
M4L,East Toronto,"India Bazaar, The Beaches West"
M4M,East Toronto,Studio District
M4N,Central Toronto,Lawrence Park
M4P,Central Toronto,Davisville North
M4R,Central Toronto,North Toronto West
M4S,Central Toronto,Davisville
M4T,Central Toronto,"Summerhill East, Moore Park"
M4V,Central Toronto,"Summerhill West, Deer Park, Forest Hill SE, Rathnelly, South Hill"
M4W,Downtown Toronto,Rosedale
M4X,Downtown Toronto,"St. James Town, Cabbagetown"
M4Y,Downtown Toronto,Church and Wellesley
M5A,Downtown Toronto,"Harbourfront, Regent Park"
M5B,Downtown Toronto,"Garden District, Ryerson"
M5C,Downtown Toronto,St. James Town
M5E,Downtown Toronto,Berczy Park
M5G,Downtown Toronto,Central Bay Street
M5H,Downtown Toronto,"King, Richmond, Adelaide"
M5J,Downtown Toronto,"Toronto Islands, Union Station, Harbourfront East"
M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
M5L,Downtown Toronto,"Victoria Hotel, Commerce Court"
M5M,North York,"Lawrence Manor East, Bedford Park"
M5N,Central Toronto,Roselawn
M5P,Central Toronto,"Forest Hill North, Forest Hill West"
M5R,Central Toronto,"Yorkville, The Annex, North Midtown"
M5S,Downtown Toronto,"University of Toronto, Harbord"
M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
M5V,Downtown Toronto,"Harbourfront West, Railway Lands, Island airport, Bathurst Quay, South Niagara, CN Tower, King and Spadina"
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
M5X,Downtown Toronto,"First Canadian Place, Underground city"
M6A,North York,"Lawrence Manor, Lawrence Heights"
M6B,North York,Glencairn
M6C,York,Humewood-Cedarvale
M6E,York,Caledonia-Fairbanks
M6G,Downtown Toronto,Christie
M6H,West Toronto,"Dufferin, Dovercourt Village"
M6J,West Toronto,"Little Portugal, Trinity"
M6K,West Toronto,"Parkdale Village, Brockton, Exhibition Place"
M6L,North York,"Maple Leaf Park, Upwood Park, North Park"
M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn"
M6N,York,"Runnymede, The Junction North"
M6P,West Toronto,"The Junction South, High Park"
M6R,West Toronto,"Parkdale, Roncesvalles"
M6S,West Toronto,"Swansea, Runnymede"
M7A,Queen's Park,Queen's Park
M7R,Mississauga,Canada Post Gateway Processing Centre
M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern
M8V,Etobicoke,"Mimico South, New Toronto, Humber Bay Shores"
M8W,Etobicoke,"Alderwood, Long Branch"
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
M8Y,Etobicoke,"Kingsway Park South East, Mimico NE, Sunnylea, Royal York South East, The Queensway East, Humber Bay, King's Mill Park, Old Mill South"
M8Z,Etobicoke,"Royal York South West, South of Bloor, The Queensway West, Mimico NW, Kingsway Park South West"
M9A,Etobicoke,Islington Avenue
M9B,Etobicoke,"Islington, Martin Grove, Princess Gardens, West Deane Park, Cloverdale"
M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe"
M9L,North York,Humber Summit
M9M,North York,"Emery, Humberlea"
M9N,York,Weston
M9P,Etobicoke,Westmount
M9R,Etobicoke,"Martin Grove Gardens, St. Phillips, Kingsview Village, Richview Gardens"
M9V,Etobicoke,"South Steeles, Albion Gardens, Thistletown, Silverstone, Mount Olive, Jamestown, Humbergate, Beaumond Heights"
M9W,Etobicoke,Northwest
